Gender,Age,StudyHours,Attendance,ExamScore,FinalGrade,Motivation,StressLevel,LearningStyle,AssignmentCompletion,Extracurricular,OnlineCourses
F,17,19,75,59.5,59.5,3,4,2,70,1,1
F,24,13,78,73.0,73.0,4,1,1,73,1,0
F,24,11,60,72.25,72.25,3,4,3,82,0,1
F,17,15,90,63.25,63.25,1,3,3,63,1,1
F,20,2,67,80.25,80.25,3,2,2,61,1,1
F,17,5,85,67.75,67.75,3,2,1,93,1,1
F,24,13,86,77.25,77.25,2,4,2,82,1,0
F,21,13,89,72.25,72.25,4,2,3,83,0,1
F,20,8,83,73.75,73.75,2,3,3,89,0,1
F,20,16,91,59.5,59.5,2,3,2,81,1,1
F,19,14,96,69.5,69.5,1,4,3,72,0,0
F,17,6,81,69.0,69.0,1,2,2,68,1,1
F,21,10,80,58.5,58.5,2,1,1,62,0,1
F,24,10,69,73.25,73.25,3,3,1,84,1,1
F,22,3,69,74.5,74.5,4,2,2,78,1,0
F,21,6,63,77.5,77.5,3,2,1,68,0,1
G,21,10,94,80.25,80.25,1,3,2,78,0,0
F,21,13,72,69.75,69.75,2,2,2,78,0,1
F,18,9,86,54.0,54.0,3,1,3,89,0,1
F,17,10,90,65.5,65.5,3,3,3,82,1,1
F,24,19,78,72.25,72.25,4,4,3,95,1,0
F,19,5,66,62.0,62.0,2,3,1,73,1,1
F,20,15,79,77.0,77.0,3,1,2,78,0,1
F,23,16,69,67.25,67.25,2,2,2,87,0,0
F,24,8,68,83.5,83.5,4,1,2,60,1,1
F,21,10,86,83.0,83.0,4,1,2,89,1,0
F,24,18,89,72.0,72.0,2,1,3,73,0,0
F,17,15,92,64.75,64.75,2,2,2,83,0,0
F,22,7,64,55.5,55.5,3,4,1,99,0,0
F,17,16,74,78.75,78.75,3,2,3,72,0,1
F,22,12,66,63.5,63.5,3,2,1,75,1,0
F,18,7,64,68.25,68.25,4,1,3,61,0,0
F,20,12,96,82.5,82.5,4,4,2,83,0,0
F,19,4,69,57.5,57.5,1,2,3,90,1,1
F,21,19,68,68.75,68.75,2,2,1,68,0,0
F,17,14,60,83.25,83.25,1,3,1,78,1,0
F,18,16,87,76.25,76.25,3,2,3,93,1,0
F,24,10,72,59.5,59.5,3,1,1,83,1,0
F,19,10,95,61.5,61.5,4,1,2,94,0,0
F,19,19,96,61.0,61.0,3,1,2,92,0,1
F,22,1,81,65.0,65.0,2,2,3,78,0,0
F,19,7,97,67.0,67.0,4,3,2,64,1,1
F,21,1,75,63.0,63.0,3,4,1,60,0,0
F,19,5,95,72.0,72.0,1,1,3,66,1,0
F,18,15,88,53.25,53.25,1,4,3,98,0,1
F,19,14,78,61.5,61.5,2,2,3,73,1,0
F,19,7,93,89.25,89.25,4,3,3,68,1,1
F,20,8,77,78.0,78.0,2,2,2,95,0,1
F,22,17,78,58.5,58.5,4,1,2,70,0,0
F,19,1,97,80.0,80.0,3,1,3,87,1,1
F,18,11,64,67.25,67.25,2,2,1,88,1,0
F,21,19,86,73.25,73.25,3,1,3,99,1,0
F,21,1,76,68.25,68.25,2,3,2,73,0,1
F,23,7,75,51.75,51.75,3,2,3,73,1,1
F,18,15,99,79.0,79.0,3,1,3,92,0,0
F,18,4,91,69.75,69.75,2,3,1,64,0,1
F,19,3,77,65.25,65.25,2,4,2,70,1,0
F,23,15,71,74.75,74.75,2,4,2,86,0,1
F,17,7,76,65.75,65.75,2,2,3,65,1,1
F,17,19,91,74.0,74.0,2,3,1,76,0,0
F,20,14,87,80.0,80.0,2,1,3,80,0,0
F,19,16,86,69.5,69.5,4,2,2,85,0,0
F,20,1,94,70.25,70.25,4,4,1,63,0,1
F,17,16,92,70.5,70.5,2,3,1,66,0,1
F,24,19,82,65.75,65.75,2,4,3,60,1,1
F,19,10,70,86.5,86.5,1,3,2,80,0,1
F,18,14,91,59.5,59.5,2,3,1,79,1,1
F,17,11,75,73.0,73.0,1,2,3,82,1,1
F,17,19,96,65.0,65.0,1,1,1,84,0,0
F,17,15,81,77.0,77.0,3,3,1,84,0,1
F,18,4,88,75.0,75.0,1,2,2,87,1,0
F,23,14,71,59.75,59.75,2,1,3,67,0,0
F,18,4,81,77.0,77.0,3,1,1,65,0,1
F,17,13,97,81.0,81.0,2,4,2,83,0,1
F,24,4,86,77.75,77.75,3,2,1,88,1,0
F,24,18,80,66.0,66.0,4,4,3,94,1,1
F,18,14,92,73.5,73.5,4,2,1,60,0,0
F,18,18,73,63.75,63.75,1,3,2,66,1,1
F,23,14,74,74.25,74.25,1,3,1,82,1,0
F,20,16,84,80.0,80.0,4,2,1,96,1,1
F,17,7,80,71.0,71.0,1,4,2,63,1,1
F,22,19,79,62.0,62.0,4,2,1,91,0,0
F,24,8,61,77.5,77.5,3,4,2,94,1,0
F,23,6,99,73.0,73.0,1,2,1,93,0,1
F,18,19,92,70.25,70.25,3,1,1,76,0,1
F,24,10,94,86.5,86.5,4,4,3,64,1,1
F,17,9,66,55.5,55.5,1,4,1,75,0,0
F,19,13,63,67.5,67.5,4,1,3,60,0,0
F,24,15,68,77.75,77.75,2,3,2,65,1,1
F,18,2,76,61.5,61.5,2,4,3,66,0,0
F,24,4,98,80.25,80.25,2,4,1,95,1,0
F,17,15,92,74.75,74.75,4,4,2,75,0,1
F,21,4,89,72.25,72.25,2,2,3,85,0,1
F,22,12,85,53.75,53.75,3,3,1,79,0,1
F,17,18,86,67.25,67.25,1,1,3,66,0,0
F,24,7,90,75.25,75.25,4,1,3,86,0,0
F,23,10,80,57.25,57.25,2,4,3,71,0,0
F,18,9,83,71.75,71.75,3,2,1,99,0,1
F,22,6,69,72.75,72.75,1,4,1,79,1,0
F,24,7,93,80.0,80.0,3,2,3,79,1,1
F,20,6,69,86.0,86.0,1,2,2,91,0,1
F,22,5,67,56.25,56.25,2,3,2,61,0,0
F,17,13,74,78.75,78.75,1,1,2,66,0,0
F,19,3,95,67.75,67.75,2,2,2,74,0,0
F,17,5,97,59.5,59.5,1,3,1,81,0,1
F,17,7,77,74.25,74.25,1,2,2,99,1,1
F,18,12,90,64.75,64.75,2,1,2,67,1,0
F,24,19,76,71.0,71.0,3,1,3,94,1,1
F,22,19,74,84.25,84.25,4,3,1,76,1,1
F,23,10,81,66.25,66.25,4,4,1,73,1,0
F,18,19,99,64.25,64.25,1,4,2,99,1,0
F,23,18,76,59.0,59.0,3,2,2,91,0,1
F,20,18,74,61.75,61.75,3,2,2,96,1,1
F,21,13,95,50.5,50.5,1,1,3,63,0,0
F,22,4,99,74.5,74.5,3,1,2,85,0,0
F,20,14,68,56.25,56.25,3,2,2,95,0,1
F,19,17,88,71.5,71.5,4,4,1,83,0,0
F,17,8,99,73.5,73.5,1,1,1,72,1,0
F,20,5,95,71.5,71.5,4,3,3,89,0,1
F,18,10,67,69.0,69.0,2,1,1,71,1,1
F,18,9,99,78.25,78.25,4,4,2,78,0,1
F,19,16,92,61.25,61.25,1,2,3,80,1,0
F,19,14,66,77.75,77.75,1,4,3,70,1,1
F,24,18,74,54.25,54.25,3,2,2,97,1,1
F,21,15,85,71.25,71.25,3,1,1,90,1,0
F,23,3,60,84.0,84.0,3,2,1,77,0,1
F,21,15,94,63.5,63.5,1,4,3,60,0,1
F,23,6,89,84.0,84.0,4,1,3,71,1,1
F,23,17,91,72.0,72.0,4,3,1,96,1,0
F,24,6,96,72.25,72.25,2,4,3,92,0,0
F,20,13,78,76.75,76.75,2,4,2,96,0,0
F,19,10,81,82.5,82.5,4,4,3,98,0,1
F,21,6,68,60.25,60.25,2,1,2,61,0,1
F,21,12,98,53.75,53.75,3,3,1,90,1,0
F,19,10,88,67.5,67.5,4,4,3,88,0,0
F,23,2,64,68.75,68.75,4,3,1,65,1,0
F,22,18,97,75.0,75.0,1,4,3,60,1,0
F,17,11,74,78.5,78.5,2,1,2,89,1,1
F,17,1,97,84.5,84.5,1,1,2,71,1,0
F,18,5,94,68.5,68.5,2,2,2,78,1,0
F,18,11,67,58.75,58.75,3,4,2,76,0,0
F,20,11,81,66.5,66.5,3,1,1,96,0,0
F,24,3,63,71.5,71.5,3,4,1,96,0,1
F,21,7,74,89.0,89.0,1,3,3,88,0,0
F,17,14,96,69.5,69.5,1,1,3,91,1,0
F,21,6,84,71.25,71.25,1,3,1,66,0,0
F,23,16,73,70.75,70.75,1,4,2,82,1,1
G,20,17,74,61.75,61.75,3,1,3,77,0,0
F,19,5,86,68.75,68.75,1,3,3,97,0,1
F,17,17,73,49.75,49.75,3,3,3,62,1,0
F,18,1,92,67.75,67.75,1,4,2,61,1,0
F,24,7,86,63.75,63.75,1,4,1,64,1,1
F,24,9,85,70.5,70.5,2,3,2,79,1,0
F,17,14,73,69.25,69.25,1,1,1,71,1,1
F,17,13,81,69.25,69.25,4,3,1,64,1,0
F,24,4,92,83.5,83.5,3,3,2,82,1,1
F,21,6,85,68.75,68.75,3,3,1,83,1,0
F,18,18,62,74.0,74.0,1,2,3,75,1,0
F,20,10,91,66.5,66.5,4,4,2,64,0,0
F,24,7,81,69.0,69.0,2,1,3,70,0,1
F,24,3,78,64.5,64.5,3,4,2,98,0,1
F,22,3,67,64.75,64.75,3,2,1,83,0,1
F,17,17,80,77.5,77.5,4,1,3,66,0,0
F,23,3,78,76.75,76.75,4,3,3,62,1,0
F,21,14,73,63.0,63.0,3,1,1,96,1,1
F,21,7,66,70.75,70.75,1,3,2,90,0,1
F,23,4,95,69.0,69.0,2,3,2,80,1,0
F,24,16,87,78.5,78.5,3,4,1,85,0,0
F,24,16,88,68.0,68.0,4,4,1,87,0,0
F,17,2,80,81.25,81.25,1,3,2,74,0,1
F,20,7,66,80.25,80.25,2,3,1,89,1,1
F,24,14,96,66.25,66.25,4,1,1,93,1,0
F,18,16,72,78.25,78.25,3,2,1,80,1,0
F,17,12,64,51.0,51.0,4,1,1,94,1,1
F,19,3,63,63.0,63.0,2,1,3,90,1,0
F,23,9,96,75.5,75.5,1,4,2,93,0,0
F,20,10,86,66.0,66.0,3,3,2,62,1,0
F,20,2,94,67.25,67.25,4,3,1,72,1,1
F,19,14,88,80.5,80.5,4,2,3,96,1,1
F,24,9,64,64.75,64.75,2,3,2,77,1,0
F,18,14,87,69.25,69.25,1,2,2,73,0,0
F,22,12,61,69.0,69.0,3,2,2,86,1,0
F,19,17,96,79.25,79.25,1,3,2,73,0,1
F,24,6,91,57.75,57.75,2,4,3,69,0,1
F,24,7,89,72.0,72.0,2,2,2,78,1,1
F,19,4,80,62.0,62.0,1,4,1,79,1,0
F,24,7,73,75.5,75.5,1,2,3,62,0,0
F,24,13,78,62.75,62.75,3,3,3,88,0,0
F,24,10,98,64.0,64.0,4,2,3,61,1,0
F,20,8,80,72.0,72.0,3,2,2,65,1,0
F,23,2,74,73.0,73.0,4,1,1,95,0,1
F,17,8,60,66.75,66.75,2,2,1,64,1,0
F,18,16,92,73.75,73.75,2,4,2,71,1,1
F,23,9,70,67.5,67.5,3,3,3,90,1,0
F,17,14,84,60.75,60.75,2,3,1,73,0,1
F,23,16,91,66.25,66.25,1,3,2,94,0,1
F,19,3,98,79.0,79.0,4,1,2,71,0,0
F,23,4,86,67.75,67.75,1,3,3,96,1,0
F,17,6,97,61.25,61.25,2,3,2,88,0,0
F,19,2,69,54.0,54.0,3,3,3,79,0,0
F,22,1,99,53.0,53.0,3,1,3,78,0,1
F,22,16,91,66.25,66.25,2,2,3,68,1,1
F,21,19,66,75.0,75.0,4,3,1,79,1,1
F,20,17,63,74.5,74.5,2,4,2,71,0,1
F,17,19,61,63.75,63.75,1,1,1,69,0,1
F,19,17,61,74.5,74.5,1,1,2,98,0,0
F,20,4,80,72.25,72.25,1,1,2,82,0,1
F,21,19,85,59.75,59.75,4,1,3,69,1,1
F,18,10,66,72.75,72.75,3,1,1,74,1,1
F,23,1,86,69.0,69.0,3,2,2,76,0,1
F,17,14,64,59.5,59.5,1,1,3,73,0,1
F,22,10,87,59.5,59.5,2,3,2,86,1,1
F,18,4,86,70.5,70.5,2,3,1,92,1,0
F,20,11,78,69.75,69.75,2,4,3,97,1,1
F,22,14,60,72.75,72.75,2,1,2,91,1,1
F,20,5,95,74.5,74.5,4,1,2,99,0,1
F,23,18,75,79.0,79.0,2,3,3,91,0,1
F,21,5,79,60.0,60.0,3,4,1,95,0,1
F,21,11,66,69.0,69.0,3,2,2,92,0,1
F,19,15,62,78.75,78.75,2,1,3,97,1,0
F,20,14,63,60.0,60.0,2,4,3,62,0,0
F,24,1,63,89.25,89.25,3,3,3,65,0,0
F,18,13,73,59.25,59.25,3,1,2,69,0,0
F,23,4,75,66.25,66.25,2,2,3,93,0,1
F,23,5,87,78.75,78.75,3,3,3,65,1,1
F,19,10,97,62.5,62.5,3,1,2,94,1,1
F,24,3,97,60.25,60.25,3,2,3,89,0,0
F,21,12,81,78.75,78.75,3,1,2,62,1,0
F,24,18,85,66.0,66.0,4,3,3,96,1,1
F,22,19,87,70.25,70.25,4,2,2,72,1,1
F,21,16,70,78.0,78.0,1,2,3,87,1,0
F,21,16,78,53.25,53.25,1,3,3,63,0,0
F,20,4,77,73.25,73.25,3,4,2,60,0,1
F,18,16,83,63.5,63.5,2,3,1,97,0,1
F,23,2,83,63.25,63.25,4,2,3,73,0,1
F,20,18,93,66.75,66.75,1,1,3,76,1,0
F,24,13,66,71.25,71.25,4,3,1,80,0,0
F,21,14,94,76.5,76.5,3,1,3,98,0,0
F,17,6,64,79.5,79.5,2,4,2,82,0,1
F,19,10,72,69.5,69.5,4,2,1,72,0,1
F,21,8,83,69.25,69.25,2,2,2,84,1,0
F,17,12,66,63.5,63.5,3,2,2,65,0,0
F,21,11,96,55.5,55.5,2,4,2,67,0,1
F,22,14,92,62.75,62.75,2,3,1,96,0,1
F,17,15,96,78.5,78.5,3,1,2,67,0,1
F,17,1,61,54.75,54.75,1,3,2,74,0,0
F,20,16,69,58.0,58.0,4,3,1,76,0,0
F,23,15,66,70.75,70.75,2,2,3,69,0,0
F,17,6,99,61.75,61.75,2,3,2,97,1,1
F,19,16,68,75.25,75.25,1,2,1,76,1,1
F,22,14,88,70.5,70.5,2,1,1,69,1,1
F,19,6,62,65.0,65.0,3,1,2,81,0,0
F,23,10,70,72.75,72.75,4,4,2,73,0,1
F,21,18,82,82.5,82.5,4,2,2,84,0,0
F,22,8,93,77.25,77.25,1,4,1,69,0,0
F,24,9,83,62.75,62.75,4,1,1,79,0,1
F,18,5,73,64.75,64.75,3,4,1,89,0,0
F,21,17,87,71.75,71.75,3,2,2,91,1,0
F,20,2,84,58.5,58.5,2,1,1,71,0,0
F,19,10,73,72.5,72.5,2,1,3,84,1,0
F,21,2,78,62.5,62.5,1,3,3,67,1,0
F,22,15,83,75.75,75.75,1,1,3,95,0,0
F,21,3,92,75.0,75.0,3,4,2,81,0,1
F,22,14,95,59.0,59.0,2,3,3,75,1,1
F,24,10,97,64.0,64.0,1,2,3,81,1,0
F,21,4,66,67.75,67.75,1,2,1,96,0,0
F,24,17,62,65.25,65.25,1,1,1,89,0,1
F,19,15,92,63.5,63.5,1,3,1,92,0,1
F,21,15,76,67.75,67.75,4,3,3,94,0,1
F,24,7,86,58.25,58.25,1,1,3,98,0,1
F,17,3,78,67.5,67.5,3,4,3,77,0,0
F,17,12,93,65.5,65.5,1,2,2,86,0,1
F,21,15,68,65.0,65.0,3,1,2,71,0,1
F,21,15,62,70.25,70.25,3,1,3,85,0,1
F,22,5,75,73.0,73.0,1,2,3,93,0,1
F,22,13,79,75.0,75.0,1,3,3,76,1,0
F,19,11,66,59.25,59.25,4,3,3,73,0,0
F,21,8,99,69.75,69.75,4,2,3,69,1,0
F,17,3,91,67.75,67.75,3,3,1,82,0,1
F,20,18,88,81.5,81.5,3,3,3,84,1,0
F,22,12,65,64.5,64.5,1,3,3,61,0,0
F,21,18,69,80.25,80.25,2,4,1,72,1,0
F,19,15,86,73.25,73.25,1,2,3,91,0,0
F,23,18,66,74.0,74.0,2,1,2,62,1,1
F,24,13,97,78.5,78.5,2,1,2,73,1,0
F,21,9,95,73.0,73.0,1,3,3,64,1,1
F,18,13,82,67.5,67.5,2,3,2,91,1,0
F,23,19,68,59.5,59.5,4,3,1,87,0,0
F,22,9,78,63.75,63.75,2,4,2,79,0,0
F,23,18,82,74.5,74.5,1,2,3,78,0,1
F,21,18,60,80.75,80.75,2,1,3,94,1,1
F,20,3,98,57.25,57.25,3,3,3,68,0,1
F,24,18,90,79.0,79.0,4,4,2,67,1,1
F,19,9,91,71.25,71.25,1,4,2,69,1,1
F,19,14,88,69.25,69.25,2,1,3,68,0,1
F,23,1,90,65.5,65.5,3,2,1,96,1,0
F,17,5,92,75.5,75.5,4,3,2,62,1,0
F,21,1,99,73.75,73.75,3,3,3,71,0,1
F,20,6,65,71.75,71.75,1,4,2,66,0,0
F,23,14,96,68.0,68.0,3,2,1,87,1,1
F,18,6,84,51.0,51.0,1,3,2,98,1,1
F,20,9,69,63.25,63.25,3,1,3,65,1,0
F,23,3,65,43.75,43.75,1,3,3,74,1,0
F,23,12,91,69.5,69.5,3,4,2,93,0,1
F,22,15,72,66.25,66.25,3,2,1,65,0,1
F,17,18,68,78.0,78.0,1,2,1,69,1,1
F,17,10,70,73.0,73.0,1,3,3,87,1,0
F,21,6,90,64.0,64.0,2,2,2,86,0,0
F,17,18,60,59.5,59.5,3,2,1,79,1,0
F,24,13,70,69.5,69.5,3,3,3,78,1,0
F,17,16,88,50.0,50.0,3,3,1,97,0,1
F,24,6,67,71.5,71.5,4,3,3,84,0,0
F,18,8,81,57.5,57.5,4,3,1,66,0,1
F,20,8,64,64.25,64.25,1,2,2,71,0,0
F,20,15,84,79.0,79.0,3,4,2,75,0,0
F,19,17,69,63.0,63.0,4,4,1,97,0,0
F,18,7,97,64.5,64.5,1,2,3,82,1,1
F,24,14,84,72.75,72.75,2,4,2,99,1,0
F,17,11,83,74.0,74.0,4,3,2,60,0,1
F,24,15,66,65.0,65.0,2,2,1,95,0,0
F,21,11,74,67.75,67.75,3,3,3,73,1,1
F,20,9,96,55.75,55.75,3,1,3,76,0,0
F,21,13,72,66.25,66.25,1,1,2,83,1,0
F,23,13,96,69.75,69.75,4,3,1,74,0,0
F,21,8,80,67.25,67.25,2,2,3,79,0,0
F,17,4,95,79.0,79.0,4,3,1,79,1,0
F,21,15,82,69.75,69.75,1,4,3,84,0,0
F,24,10,82,78.75,78.75,4,4,3,74,0,0
F,23,3,80,73.75,73.75,2,3,2,83,1,1
F,23,10,98,78.5,78.5,1,2,1,78,0,0
F,20,13,89,76.75,76.75,2,4,2,73,1,1
F,19,1,64,78.25,78.25,4,2,1,97,0,1
F,21,19,94,69.0,69.0,4,1,1,63,1,1
F,20,6,62,73.0,73.0,3,4,1,69,1,0
F,18,19,88,79.5,79.5,3,4,1,79,0,1
F,20,14,61,76.0,76.0,2,2,3,60,1,1
F,20,6,84,70.0,70.0,1,4,2,83,0,1
F,18,16,93,71.75,71.75,4,2,1,81,0,1
F,18,16,90,82.0,82.0,1,3,1,77,1,0
F,21,1,73,62.5,62.5,1,4,2,88,1,0
F,19,8,87,60.75,60.75,4,4,2,64,1,0
F,18,6,86,74.5,74.5,1,2,2,91,0,0
F,21,2,65,71.75,71.75,2,3,1,81,1,0
F,22,4,96,69.75,69.75,4,4,2,84,0,1
F,17,2,98,67.75,67.75,3,1,2,65,0,0
F,20,11,63,62.0,62.0,2,4,3,83,0,0
F,19,5,99,76.5,76.5,4,2,1,72,1,1
F,22,18,80,74.0,74.0,3,2,1,80,1,1
F,22,17,69,68.0,68.0,4,1,2,84,1,0
F,22,9,92,75.25,75.25,1,3,3,95,1,0
F,24,17,77,76.5,76.5,2,3,1,92,0,1
F,17,17,64,59.75,59.75,4,3,3,61,1,1
F,17,15,66,61.5,61.5,4,3,1,60,1,0
F,22,13,95,72.25,72.25,3,3,3,84,1,0
F,19,12,78,82.25,82.25,1,4,2,76,0,1
F,22,17,94,68.75,68.75,3,4,2,89,1,1
F,23,19,83,74.75,74.75,1,4,2,87,0,0
F,20,14,99,57.25,57.25,3,2,3,87,1,0
F,23,11,75,61.25,61.25,4,4,1,66,0,1
F,18,18,86,67.75,67.75,1,3,3,99,1,1
F,17,10,98,75.75,75.75,2,1,1,77,1,1
F,20,14,74,77.5,77.5,3,4,3,64,0,1
F,24,5,73,69.25,69.25,4,3,3,69,0,1
F,24,12,67,46.75,46.75,4,3,2,72,1,1
F,20,4,92,59.5,59.5,3,2,2,71,1,1
F,22,10,69,67.5,67.5,2,4,2,77,0,1
F,24,16,99,58.25,58.25,3,3,2,69,1,0
F,20,6,64,61.5,61.5,1,1,2,84,0,1
F,23,16,97,57.75,57.75,3,4,2,71,0,1
F,20,12,82,67.25,67.25,2,2,1,66,1,0
F,22,4,81,73.25,73.25,4,1,2,80,1,1
F,18,8,84,74.25,74.25,1,2,1,93,0,0
F,18,1,65,72.0,72.0,3,1,3,83,0,1
F,19,14,99,63.75,63.75,4,1,2,64,0,0
F,24,3,77,72.0,72.0,2,4,1,92,1,1
F,21,18,69,63.0,63.0,1,2,3,86,1,1
F,21,4,93,72.0,72.0,1,4,1,73,1,1
F,18,12,63,68.0,68.0,1,2,2,60,1,1
F,19,4,96,83.5,83.5,1,3,2,89,1,0
F,18,19,62,77.25,77.25,2,4,2,85,1,0
F,17,4,65,70.0,70.0,3,3,3,84,1,1
F,17,1,72,62.75,62.75,4,1,2,69,1,1
F,19,4,62,55.0,55.0,3,2,3,65,1,1
F,20,17,73,59.0,59.0,3,3,1,83,0,1
F,19,13,95,69.75,69.75,4,2,2,71,1,0
F,22,9,77,75.5,75.5,1,2,1,77,0,0
F,22,17,95,69.0,69.0,1,1,2,79,0,0
F,21,4,80,58.5,58.5,1,3,3,95,0,1
F,24,5,67,64.5,64.5,4,3,1,63,0,0
F,22,8,92,63.75,63.75,1,3,1,78,0,0
F,19,15,87,81.25,81.25,1,2,3,95,0,1
F,19,1,79,70.25,70.25,3,4,1,88,1,0
F,22,8,67,72.25,72.25,3,3,3,65,0,1
F,22,3,63,64.25,64.25,3,2,1,95,0,0
F,17,18,92,70.0,70.0,1,2,2,87,1,0
F,21,6,63,78.5,78.5,1,3,2,86,1,0
F,24,1,80,77.0,77.0,4,1,1,95,0,0
F,24,1,63,69.75,69.75,1,3,1,60,0,0
F,22,7,69,70.0,70.0,4,4,3,71,0,0
F,20,1,70,86.75,86.75,4,2,3,96,1,0
F,23,15,77,63.75,63.75,2,1,3,87,0,0
F,22,15,98,82.5,82.5,1,2,3,88,0,1
F,18,9,97,67.75,67.75,1,1,2,67,1,1
F,21,1,84,72.75,72.75,2,3,1,72,0,1
F,18,11,92,64.0,64.0,2,2,1,91,0,1
F,23,15,97,63.25,63.25,1,1,3,67,1,1
F,19,19,70,61.25,61.25,1,4,2,94,0,1
F,20,12,77,67.25,67.25,2,3,1,74,0,1
F,23,3,69,80.75,80.75,2,3,2,75,1,1
F,18,18,95,77.0,77.0,4,1,2,96,0,1
F,24,9,89,71.0,71.0,4,2,2,90,0,0
F,20,14,60,77.5,77.5,2,3,2,89,1,0
F,17,14,74,81.0,81.0,4,1,1,77,0,1
F,23,1,93,62.5,62.5,2,1,2,71,0,0
F,18,16,82,76.5,76.5,3,4,1,74,0,0
F,21,14,78,74.5,74.5,1,4,1,74,1,1
F,19,11,76,77.0,77.0,2,2,2,63,1,1
F,20,10,80,71.5,71.5,1,1,1,61,0,0
F,17,16,83,68.5,68.5,1,2,2,73,0,1
F,23,8,77,69.0,69.0,2,4,3,79,1,0
F,24,19,82,72.75,72.75,4,2,3,90,1,0
F,21,19,90,70.0,70.0,3,4,3,61,1,1
F,18,7,71,70.5,70.5,3,4,2,96,1,0
F,21,2,81,67.75,67.75,4,2,2,91,0,0
F,19,8,87,61.75,61.75,2,1,3,89,1,1
F,17,6,98,61.5,61.5,2,4,3,95,1,0
F,24,3,82,65.25,65.25,2,4,2,65,1,0
F,24,3,65,65.5,65.5,2,1,2,82,0,1
F,20,18,66,78.25,78.25,3,1,2,86,1,0
F,23,18,62,88.75,88.75,4,3,2,63,0,1
F,23,4,68,70.0,70.0,1,1,2,61,1,1
F,20,18,90,44.75,44.75,1,2,2,98,1,0
F,21,16,89,76.5,76.5,2,3,1,72,1,0
F,24,8,76,76.75,76.75,2,2,3,94,1,1
F,19,16,88,74.0,74.0,3,2,2,77,1,0
F,24,16,61,80.25,80.25,4,3,1,85,1,1
F,23,4,87,67.25,67.25,1,3,1,96,0,0
F,17,19,62,70.5,70.5,1,3,1,72,1,1
F,24,8,89,62.75,62.75,2,4,1,74,0,0
F,20,10,76,69.5,69.5,3,4,2,76,0,1
F,22,17,72,62.5,62.5,4,3,2,88,0,1
F,23,16,91,77.25,77.25,2,1,3,61,1,0
F,17,5,93,76.0,76.0,2,1,2,74,1,1
F,17,19,92,66.5,66.5,4,2,3,69,1,0
F,18,15,87,61.5,61.5,3,2,3,90,1,0
F,21,13,86,74.0,74.0,4,1,2,80,1,0
F,24,12,69,59.25,59.25,4,1,2,88,1,1
F,17,7,84,82.25,82.25,2,2,2,69,1,1
F,20,19,88,79.25,79.25,4,3,1,61,0,1
F,24,2,91,67.75,67.75,3,1,1,62,1,1
F,21,10,69,52.5,52.5,1,4,2,81,1,0
F,22,9,98,69.0,69.0,2,3,2,95,1,0
F,19,16,74,69.0,69.0,4,3,2,96,0,0
F,23,3,68,70.75,70.75,1,1,2,81,1,1
F,20,5,84,70.5,70.5,2,4,1,68,0,1
F,18,3,77,66.0,66.0,3,4,2,99,1,0
F,20,6,77,75.0,75.0,3,1,1,71,0,1
F,19,4,82,51.0,51.0,1,1,1,94,1,0
F,24,18,78,77.5,77.5,4,4,1,95,1,0
F,18,2,99,55.0,55.0,4,2,1,79,1,1
F,23,9,95,78.5,78.5,3,2,2,72,0,1
F,22,11,86,59.5,59.5,3,4,2,81,1,0
F,17,1,82,65.0,65.0,4,2,2,90,1,1
F,20,12,87,76.75,76.75,3,2,3,94,0,0
F,19,18,68,62.5,62.5,1,4,1,89,0,0
F,24,2,70,84.5,84.5,1,2,3,65,0,1
F,17,15,92,54.25,54.25,3,1,3,87,1,1
F,23,13,95,69.0,69.0,1,1,2,68,0,1
F,21,15,79,79.25,79.25,4,4,3,96,1,0
F,24,7,87,69.75,69.75,4,2,3,64,1,1
F,21,16,60,68.5,68.5,4,2,1,72,1,1
F,24,12,60,67.25,67.25,3,1,2,74,0,0
F,22,19,73,76.75,76.75,4,4,3,87,0,0
F,24,11,70,81.0,81.0,2,3,1,87,0,1
F,17,9,98,78.0,78.0,4,1,3,75,1,1
F,20,2,70,77.75,77.75,2,2,3,68,0,0
F,23,11,86,63.0,63.0,4,2,2,62,0,1
F,17,7,98,77.0,77.0,2,1,2,68,1,1
F,23,6,90,79.5,79.5,1,4,1,75,1,1
F,18,11,96,64.25,64.25,4,3,3,81,0,0
F,18,11,71,71.75,71.75,1,2,1,79,0,0
F,24,12,65,66.25,66.25,2,3,3,81,0,0
F,21,16,60,73.25,73.25,2,2,1,83,1,1
F,17,17,61,61.5,61.5,2,4,1,61,0,1
F,24,12,72,82.0,82.0,4,4,3,88,1,0
F,22,18,91,73.0,73.0,2,3,1,97,0,1
F,18,10,88,64.25,64.25,4,1,1,84,0,0
F,24,3,95,77.0,77.0,2,1,2,81,0,1
F,22,5,81,72.75,72.75,3,1,3,80,1,0
F,19,5,84,60.25,60.25,3,3,1,62,0,1
F,18,17,99,73.75,73.75,1,4,3,79,0,0
F,18,3,83,73.5,73.5,3,3,2,93,1,0
F,18,17,85,58.5,58.5,4,4,2,97,1,1
F,20,17,96,82.25,82.25,4,2,2,68,0,0
F,22,15,94,49.25,49.25,4,4,1,89,1,1
F,24,15,93,62.25,62.25,1,2,2,88,0,1
F,18,10,96,74.25,74.25,4,2,2,68,0,0
